refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere
ECUDEM,OC(=O)Cc1cc(CC(=O)O)cc(c1)CC(=O)O,Sm,4.43563,2.67081,4.30587
EDAKIE,OC(=O)C[C@H](C(=O)O)O,K,1.99186,1.20373,1.88729
EDAVOV,OC(=O)C/N=C/c1ccccc1O,Cu,5.43059,4.92969,5.43059
EFOREY,O=C1NNC(=O)[C@H]2[C@H]1C[C@@H]1C(=O)NNC(=O)[C@H]1C2,Ba,1.62865,0.74604,1.61301
EGAFOJ,OC(=O)CSCCSCC(=O)O,La,5.4475,2.62933,5.4475
EGEHOO,OC(=O)C1=NC=N[C@@H]1C(=O)O,In,9.43653,6.31102,9.43184
EGOYEF,OS(CCP(=O)(O)O)(O)O,Er,2.00951,0.92138,2.00951
EHAXUG,O=C1C(=O)C(=O)C1=O,Fe,1.21135,0.50952,1.19507
EHOHOY,OP(=O)(CP(=O)(O)O)O,Sb,1.77185,0.95547,1.74564
EJIBOQ,n1ccc(cc1)c1nnc([nH]1)c1cnccn1,Co,7.02978,5.17987,7.02978
EJIROG,NCc1cccc(c1)CN,Zn,1.75187,0.95319,1.71256
EJOPEZ,c1cnc(cn1)c1nnn[nH]1,Hg,2.37353,1.43266,2.36861
EKAZIA,CCCn1cnc2c1NC=N[C@@H]2N,Ag,3.98664,1.74511,3.96639
ELUVEN,Cc1nc(c([nH]1)C(=O)O)C(=O)O,Ba,1.65874,0.8068,1.65275
EMAFAA,Cc1cc(nn1Cc1ccc(c2c1cccc2)Cn1nc(cc1C)C)C,Ag,5.24366,2.00009,5.23981
EMIFOW,c1ncc[nH]1,In,7.56186,4.84974,7.24948
EMIGOX,c1ccc2c(c1)[nH]cn2,In,6.95421,5.10297,6.95421
EMOSOP,OC(=O)[C@H](CC(=O)O)NCc1ccncc1,Cd,3.30742,1.99914,3.29557
ENAMIR,O=C1CC(=O)NC(=S)N1,Tl,1.57005,0.69311,1.56802
ENIZEH,OS(c1ccc(cc1)P(=O)(O)O)(O)O,Sn,2.22905,0.83717,2.14899
EQOCOC,C1=NCC=N1,Zn,4.82787,1.63747,4.82787
EQOCOC01,c1ncc[nH]1,Zn,9.50013,5.48498,9.50013
ERAJAK,N1=Nc2c(=N1)cc1c(=NN=N1)c2,Co,11.32851,10.21444,11.32851
